lyrics,feelings
your touch feels like flame burning away screaming my name sex passion pain we ve come face to face i want you to stay come on come on mami don t be shy come on come show you the time of your life tonight shake it shake it mami don t hold back baby baby when you move just like that just like that let seal it with kiss i just wan na take your love down slowly you ain t got ta say word just hold only thing i need s taste of your lips let seal it with kiss let put my hands all over your body get little crazy wild and naughty only thing i need s taste of your lips let seal it with kiss you might also like let seal it with kiss let seal it with kiss siento aqui migo hush don t make sound we re loving out loud want your body right now line deep in your eyes are beautifully bright keep them on mind keep them on mind come on come on mami don ’ t be shy come on come on show you the time of your life tonight shake it shake it mami don ’ t hold back baby baby when you move just like that just like that let seal it with kiss i just wan na take your love down slowly you ain t got ta say word just hold only thing i need s taste of your lips let seal it with kiss let put my hands all over your body get little crazy wild and naughty only thing i need s taste of your lips let seal it with kiss let seal it with kiss let seal it with kiss i just wan na take your love down slowly you ain t got ta say word just hold only thing i need s taste of your lips let seal it with kiss,"positivo, confianza, ira"
¿como digo that i got you si falle mil veces aqui pensando labios esperando venga beses juro papi i m sorry game atari responsable siempre quise sabe corazon rompi now i m here feelin lonely lejos siento i feel you aqui cuerpo oh oh oh oh oh oh ooh ooh oh oh oh oh oh oh woh i wan na see if we could be thing let s see if and you can maintain i just wan na know the real and the truth and the truth i spend every dollar baby i depend on you oh oh solo quiero vuelvas baby baby yeh oh woah prometo entrego baby aqui baby yeah you might also like juro mami i m sorry game atari tambien culpable siempre quise sabe peleamos siempre terminamos comiendono toda piel noche buena amanecer eh oh oh oh oh oh oh uh ah ah ah pull up mami you know i got sabes haces falta yeah extrañaba besos uh baila bachata yeah juro papi i m sorry game atari responsable siempre quise sabe corazon rompi now i m here feelin lonely lejos siento i feel you aqui cuerpo juro mami i m sorry game atari tambien culpable siempre quise sabe peleamos siempre terminamos comiendono toda piel noche buena amanecer eh oh oh oh oh oh oh uh ah ah baby royce uh uh oh oh oh oh oh oh oh,"positivo, negativo, confianza"
dangerous i should ve known i would pay for this you look too good with your makeup off and your favorite song they get scared to lust girl you re dangerous the checking the the lying the options there s so many options yeah the ladder you got ta be climbing you always just check on your status girl what s been happening lately we don t even talk more i ll be getting high on the low all the guys on your phone lately all the vibes gone cold i see it in your eyes in your tone i can hear it sky was the limit spoke about the future i wasn t in it said you had plans for man and bentley but you should ve been here when your boy was in the civic you might also like dangerous i should ve known i would pay for this you look to good with your makeup off and your favorite song they get scared to lust girl you re dangerous kid ink that bad girl so dangerous say she from angeles never seen her on my side of town instagram she famous though was around when we first came in here pull the chains out and that changes stuff she dim but ain t changing her she need sugar daddy and my cane is up i swear if you walk right by it s gon be hard for you to say bye to the bottles is bottomless i m buying everything my finger land on like monopoly but you ain t nobody s property and you wan na bag worth the house how so show what it s worth boo so bad in other words you dangerous i should ve known i would pay for this you look too good with your makeup off and your favorite song they get scared to lust girl you re dangerous dangerous i should ve known i would pay for this you look to good with your makeup off and your favorite song they get scared to lust girl you re dangerous the streets in the summer i love em the winter gets cold you need someone cause every night can t be function but that s just the way you dysfunction girl what s been happening lately we don t even talk more i be getting high on the low all the guys on your phone lately all the vibes gone cold i see it in your eyes in your tone i can hear it sky was the limit spoke about the future i wasn t in it said you had plans for man and bentley but you should ve been here when your boy was in the civic dangerous i should ve known i would pay for this you look too good with your makeup off and your favorite song they get scared to lust girl you re dangerous dangerous i should ve known i would pay for this you look to good with your makeup off and your favorite song they get scared to lust girl you re dangerous,"positivo, confianza, ira"
it s your boy ves cierto mas creias nadie muere amor canse pierdo tiempo aquel ingenuo labios perdio tiras piedra escondes mano siempre haces victima quite mascara engaño marchate vuelvas mas aquel idiota moria tocar piel amarte cosa ayer vuelvo juego caer creias nadie remplazaria amor barato final porqueria aquel idiota quiero ra da da ah yeh yeh yeh duele dentro saber importa si mueres rencor ve nota lejos anhelas atraparme termino you might also like tiras piedra escondes mano siempre haces victima quite mascara engaño marchate vuelvas mas aquel idiota moria tocar piel amarte cosa ayer vuelvo juego caer creias nadie remplazaria amor barato final porqueria aquel idiota quiero sometimes you have to cry you know how to smile yet you know that dice we on this aquel idiota moria tocar piel amarte cosa ayer vuelvo juego caer oh uoh creias nadie remplazaria amor barato final porqueria aquel idiota quiero,"negativo, ira, disgusto"
artist royce don t make seem blind don t you act single when i m not around you don t go there you re still mine let s not go there unless we re going in maybachs behind blinds so they don t see us the way that we flex the attention i don t like don t even fuck with like that instead they gon say everything s fine and it s way it s okay dos sabemos bien solo baby llevo cien meantime it s never okay but i guess i ll just love you for the meantime dime royce digas mañana quiero hoy crees gran vaina dices dueño dueño digas mañana ¿te hoy pa intentes robarte corazon aprovechemos tiempo hoy olvides mañana you might also like conozco vuelves mañana buscar medicina amor contradices fingir amas tan obvio macho ¿que haces mintiendo if you know there s other way sabes quita estres solo mami llevo cien prendo sabes dueño habra sabes digas mañana quiero hoy crees gran vaina dices dueño dueño digas mañana ¿te hoy pa intentes robarte corazon aprovechemos tiempo hoy olvides mañana i got you right now don t forget tomorrow puffin gelato more feelin sorry i let you borrow my heart and you never came back you just left with that shit like the lotto and i can hear it in your voice give them choice but to fall back they got choice i m in rolls royce with my boy royce and in all black tell why you actin like amanda tell why you actin like you all that tell how you gon swerve on you deserve you deserve you deserve you deserve i m in rolls royce with my boy royce extraña conozco mas bien conozco mas bien you re not unfamiliar i ve seen your type before and i know just who you are digas mañana quiero hoy crees gran vaina dices dueño dueño digas mañana ¿te hoy pa intentes robarte corazon aprovechemos tiempo hoy olvides mañana hoy hoy hoy hoy vio baby this ain t mine why you got ta tell like that hoy hoy vio and it s way it s okay why you got ta tell like that dos sabemos bien vio meantime hoy olvides mañana vio vio,"anticipacion, positivo, confianza"
dice si aun permanecere corazon razon aqui ahora niña digas tal vez crees tal vez rapido ruego cree amor cuidare corazon solos habitacion favor amor olvides solos habitacion favor amor olvides ay olvides olvides ay olvides ay olvides olvides ay olvides ay olvides olvides olvides mami olvides switch you might also like dice si aun permaneceras corazon razon aqui ahora niña digas solos wuh habitacion favor amor olvides solos habitacion favor amor olvides ay olvides olvides ay olvides ay olvides olvides olvides ay olvides olvides olvides mami yeah baby olvides pienso pienso olvides pienso pienso crees tal vez rapido ruego cree amor cuidare cuidare corazon solos habitacion favor amor olvides solos wuh habitacion favor amor olvides ay olvides olvides olvides ay olvides olvides olvides ay olvides olvides olvides,"positivo, alegria, sorpresa"
arriba manos entregame vas escaparte juro modo hoy vengo dispuesto quedarme siempre ojos digas ten cuidado bajes manos hoy vengo armado sobra valor decirte amo beso disparare compasion tendre llevarme corazon rendire vea caer sere bandido amor asalto corazon voy quitarte camisa adueñarme amor asalto corazon sere culpable si delito importa ir prision asalto corazon voy quitarte camisa adueñarme amor asalto corazon sere culpable si delito importa ir prision you might also like yeah royce i got that i got that good shit girl you want that good shit digas ten cuidado bajes manos hoy vengo armado sobra valor decirte amo beso disparare compasion tendre llevarme corazon rendire vea caer sere bandido amor asalto corazon voy quitarte camisa adueñarme amor asalto corazon sere culpable si delito importa ir prision asalto corazon voy quitarte camisa adueñarme amor asalto corazon sere culpable si delito importa ir prision,"ira, positivo, negativo"
espacios inundados ausencia inundados silencio palabras perdon olvidado respondes llamado eches tierra palabra condenas entierres perdon mira corazon engaño revierte hace daño revienta aire pompas jabon pude haberte herido engañarte ofendido alma gemela olvido aunque arranque corazon ay rencor envenena hace daño aunque regreses corazon perdonarme you might also like verdadero amor perdona abandona quiebra aprisiona revienta pompas jabon error humano justifico traicion amantes verdaderos comprenden aman olvidan rencor noche empieza amotinarse sueños rotos dolor revuelco cama aferrandome implorando perdon mira corazon cuanto extraño pasan dias pasan años vida revienta pompas jabon pude haberte herido engañarte ofendido alma gemela olvido aunque arranque corazon ay rencor envenena hace daño aunque regreses corazon perdonarme verdadero amor perdona abandona quiebra aprisiona revienta pompas jabon verdadero amor perdona verdadero amor perdona si amor verdadero quiebra abandona verdadero amor perdona verdadero amor perdona si amor verdadero quiebra abandona si amor verdadero quiebra abandonao abandona,"positivo, alegria, negativo"
caminar aqui nuevo woh mismo lugar quiero woh personaje mismo cuento woh herida daga clavada nuevo pecho duele mata mata masoquista loco frustrado siento vuelvo enamorar vez morire volvere caer brazos amor aunque vuelva perder vez llorare vuelto creer confieso rendido amor mujer ah here i go again voy encontrarte pierdo woh esperanza amar quiero you might also like herida daga clavada nuevo pecho duele mata mata masoquista loco frustrado siento vuelvo enamorar vez morire volvere caer brazos amor aunque vuelva perder vez llorare vuelto creer confieso rendido amor mujer inventen llegan royce herida daga clavada nuevo pecho duele mata mata masoquista loco frustrado siento vuelvo enamorar vez morire volvere caer brazos amor aunque vuelva perder vez llorare vuelto creer confieso rendido amor mujer yeah vez volvere caer vez volvere caer vez vez puedo ir contigo i can t live with her but i can t live without her,"negativo, ira, miedo"
prr arturo sandoval gente zona prince royce pareces nadie baby sensual sabes baby girl i know that you want it you got it i m on it voy conquistarte despiertas ganas desvelas baby baby hoy quiero mas beso mas piel come on eie gusta tumbao ves tan sexy caminar eie gusta tumbao tan buena sofocado eie gusta tumbao pelo boca andar provoca eie gusta tumbao tumbao enamora you might also like ¿como enamorado interesa yeah perfecta pies cabeza oh oh oh caminas detienes mundo sigo rumbo mira to mundo despiertas ganas desvelas baby baby hoy quiero mas beso mas piel eh yeh eie gusta tumbao ves tan sexy caminar eie gusta tumbao tan buena sofocado eie gusta tumbao pelo boca andar provoca eie gusta tumbao tumbao enamorado oh yeah oh oh yeah ponle let s go gente zona tumbao tumbao prr aja arturo let it rip tumbao tumbao tumbao tumbao tumbao ¡que suene eie gusta tumbao ves tan sexy caminar eie gusta tumbao tan buena sofocado eie gusta tumbao pelo boca andar provoca eie gusta tumbao ¡como gusta tumbao tumbao enamorado enamorado,"sorpresa, negativo, ira"
entrego vida amor fin entrego vida amor fin amistades hablan mal dicen malo sucede problema dos relacion they tell you that i might be going around cheating don t believe them girl they re just hating meten cosas mente pongas atencion enamorados corazon garantizo amor solos interfiera nadie podran alejarme dos soñando amor sabes dos dolor sabes you might also like sepa mundo amor debe vivir aunque opongan sabes capaz morir entrego vida amor fin entrego vida amor fin royce ou ou ou ou yeah too strong recuerdo primera vez vi escuela conoci cantaba corazon use valor pa confesarte amor dia amor crecio inseparables eramos dos promesa hicimos destruya amor enamorados corazon garantizo amor solos interfiera nadie podran alejarme dos soñando amor sabes dos dolor sabes entrego vida amor fin entrego vida amor fin damn girl you know i love you nothing is gon na tear appart sepa mundo amor debe vivir amo,"positivo, alegria, negativo"
royce señorita favor permitame momento poderle explicar tonto corazon ocultado tiempo aguanta mas esconder hace mal puedes notar arena mar arena mar canse soñar necesito realidad aunque cueste demostrarlo palabras marcadas solo pido preste atencion dispuesto ignorar sentimiento vez mas usted dueña corazon dime hacer mujer ¿cual receta amor conquistar corazon dime hacer pa ’ hacerte mujer muriendo decir siento dime hacer mujer ¿cual receta amor conquistar corazon dime hacer pa ’ hacerte mujer muriendo decir siento you might also like ay niña cosita linda come on it ’ s your new boyfriend royce oh oh royce señorita favor favor salva capricho mañana pasara sabia amor estrella cometa pude esquivar si verdad hace bien hace mal aguanto mas canse soñar oh whoa necesito realidad aunque cueste demostrarlo palabras marcadas solo pido preste atencion dispuesto ignorar sentimiento vez mas usted dueña corazon eh dime hacer dime mujer dime ¿cual receta baby for you to be my lady dime hacer pa ’ hacerte mujer muriendo decir siento dime hacer mujer oh cariñito cariñito dime hacer pa ’ hacerte mujer oh oh baby dime hacer,"negativo, positivo, anticipacion"
let s do it ride it my pony my saddle s waitin come and jump on it sobraron palabras atrapo seduccion solo mirada sabiamos intencion acerque pregunte ¿quiere bailar ¿quiere bailar dijo yes yes lleve lugar lugar entregue placer igual tambien ahora llama pa cita necesita hable par cosita mala mala pone bien loquita llama pa cita mas necesita haga par cositas mala mala pone bien loquita you might also like quiero volver tenerla cama semidesnuda semidesnuda llena ganas llena ganas pidiendome haga amor amor labios labios recorriendo espalda palda manos manos rozando bajo falda falda cuerpo completo bañado sudor oh oh perdiendo control ahora llama pa cita necesita hable par cosita mala mala pone bien loquita llama pa cita mas necesita haga par cositas mala mala pone bien loquita nadie toque let s do it my pony solo sexo aqui existe amor oh oh ooh ahora llama pa cita yeah necesita hable par cosita mala mala pone bien loquita llama pa cita mas necesita uoh oh oh haga par cositas mala mala pone bien loquita mala yeah if you re horny let s do it ride it my pony my saddle s waitin come and jump on it if you re horny let s do it ride it my pony,"positivo, alegria, negativo"
dicen ahi solo cuentos hadas existe verdadero amor dicen debes morder manzana sola moriras casi doce labios llaman zapatilla lado cama quiero ser heroe escudo espada corona baby quiero ser principe amor cuidarte corazon mil rosas protegerte dolor quiero ser quiero ser principe amor hacerte cancion siempre juntos cuento amor you might also like dicen ahi besar sapos encontrar principe azul princesas pasan trabajo buscando felicidad casi doce labios llaman zapatilla lado cama quiero ser heroe escudo espada corona baby quiero ser quiero ser principe amor cuidarte corazon mil rosas protegerte dolor quiero ser quiero ser principe amor hacerte cancion siempre juntos cuento amor ooooh ooooh quiero ser quiero ser principe amor cuidarte corazon mil rosas mil rosas protegerte dolor quiero ser quiero ser principe amor hacerte cancion siempre siempre juntos cuento amor,"positivo, alegria, negativo"
buscado chica llene luz tema enamorarse hey labios ojos solo enamore dejas querer llevate besos llevate alma llevate corazon tan perfecta toda belleza hecha amor soñado tantas veces perdi cuenta fin hoy vuelto sonreir gracias pense anhele nunca perdi fe pinte desee llegaras fin encontre you might also like ahora llevate besos llevate alma llevate corazon tan perfecta toda belleza hecha amor llevate besos llevate alma llevate corazon tan perfecta toda belleza hecha amor aah ah ah aah ah ah aah royce aah ah ah aah ah ah aah llevate besos llevate alma llevate corazon tan perfecta toda belleza hecha amor ahora llevate besos llevate alma llevate corazon tan perfecta toda belleza hecha amor nara tau nara tara tau yeah yeah yeah yeah yeah yeah llevate besos llevate alma llevate be llevate besos alama llevate besos alama oh girl,"positivo, alegria, confianza"
hoy lograste seducirme terminamos visitando mismo hotel trampa envolviste pues conoces debilidad bien vez mas convenciste imposible resistirme miel mantenemos invisible amigo amante fiel encanta hacemos amor escondidas silencio gusta dos encanta hacemos amor escondidas silencio gusta dos you might also like cada noche mas extraño cuerpo caigo vez mas engaño soñando algun dia mujer vez mas convenciste imposible querer tocar piel mantenemos invisible amigo amante fiel encanta hacemos amor escondidas silencio gusta dos encanta hacemos amor escondidas silencio gusta dos encanta hacemos amor encanta entramos calor encanta hacemos amor encanta entramos calor cuarto playa in the shower cama carro on the counter there goes your skirt dropping to your feet oh my there goes your hands all up on oh my encanta you like that yeah,"positivo, alegria, negativo"
sabes quiero quiero muero muero sentimiento ja siento dentro sabes quiero quiero quiero mas primero ja prometo amor eterno sabes mia solo solo mia dueño amor perfecto sabes mia solo solo mia nadie podra alejarme mas baby you know i m better than the rest royce huh just take out the swag hehehehe you already know you re mine you might also like habla mentiras mentiras muchas fantasias ja ja ja ingrato ja hombre barato faltes respeto respeto sabes mia ja ja ja ja ja aunque cama dueño ja complace deseos sabes mia solo solo mia dueño amor perfecto sabes mia solo solo mia nadie podra alejarme mas sabes mia solo solo mia dueño amor perfecto sabes mia solo solo mia nadie podra alejarme mas mia mia mia mia mia mia dueño amor perfecto mia mia mia mia mia mia dueño amor perfecto sincerely royce,"alegria, positivo, anticipacion"
feliz pienso nunca valoraste relacion hoy regresas explicacion tarde quiero amor nuevo amor sincero traicionaste dejaste solo ahora quieres regresar ahora sientes sola dolor llenaste ilusiones marchaste razon duele corazon nota presencia belleza termino puedo darte amor uu olvida caricias amor expiro hoy feliz feliz rencor uu quiero verte pintura dedico cancion you might also like sometimes you have to cry in order to smile in the end but i ain ’ t gon ’ do that today it ’ s boy royce ah tarde tarde quiero quiero amor nuevo yeh amor sincero traicionaste dejaste solo ahora quieres regresar ahora sientes sola dolor llenaste ilusiones marchaste razon duele corazon nota presencia belleza termino puedo darte amor uu olvida caricias amor expiro hoy feliz feliz rencor uu quiero verte pintura dedico cancion feliz quiero saber feliz quiero feliz quiero saber feliz hoy mejor feliz quiero quiero feliz feliz feliz feliz feliz feliz feliz feliz feliz oh oh oh oh feliz oh oh oh oh feliz,"positivo, alegria, negativo"
there was time when one would love but you took into your heart and said i m here to stay you never said why but why would you trust it s like you could tell the difference between who i was and who i am today and in that moment you showed that we could make it last forever cause if you love at my worst i tell you it only gets better whatever the world may say about the choice you made you fought that fight and stayed right by my side so i ll make sure they know that you re responsible for making everything you always knew i was you said you wanted lover best friend knight girl who you believe in your love is the sweetest love i know so i ll be there for you i ll be there for you you deserve the best of everything and you are the only one so i ll be there for you i ll be there for you you might also like baby i know i know you hear stories about all those crazy games i used to play they say i m selling you dream but you never judge even when all the cards were stacked against us you put all your money on the line and in that moment you showed and in that moment you showed that we could make it last forever cause if you love at my worst i tell you it only gets better whatever the world may say about the choice you made you fought that fight and stayed right by my side so i ll make sure they know that you re responsible for making everything you always knew i was you said you wanted lover best friend knight girl who you believe in your love is the sweetest love i know so i ll be there for you you deserve the best of everything and you are the only one i ll be there for you anything you want i ll do it haria unico amor i ll make sure they know that you re responsible for making everything you always knew i was you said you wanted lover best friend knight girl who you believe in your love is the sweetest love i know so i ll be there for you i ll be there for you you deserve the best of everything and you are the only one so i ll be there for you i ll be there for you i ll be there for you,"positivo, alegria, sorpresa"
z l royce viera ahi parece santica asi dulce señorita encanta seducir despues ahi domina hace perder cordura culpa cintura cae vez oye bonita trampa toma toma bonita trampa trampa trampa toma toma bonita trampa parece brujeria toma mundo decia diera suave suave facil descifrar clave habia tocar puerta entrar tenia anormal asi bailar sex appeal fenomenal aunque galla hacia volar you might also like controla veneno arranca freno pone espalda ves brincan brincan brincan duro palmas toma toma despues ahi toma toma domina hace perder cordura yah culpa cintura cae vez oye bonita trampa toma toma trampa ah bonita trampa trampa trampa toma toma bonita trampa ay conozca compre gusta jugar to hombres ay si pruebas boca vas enredar magia magia magia oscura pega cintura canto bachata pa subir temperaturas nena explota bomba oye sonido conga si llego ver juro volvere caer controla veneno veneno arranca freno pone espalda ves brincan brincan brincan duro palmas despues ahi ahi domina hace perder cordura ah ah ah ah ah culpa cintura cae vez oye bonita trampa ah bonita trampa toma trampa bonita trampa toma trampa oh bonita trampa toma trampa bonita trampa trampa trampa z l bella trampa trampa trampa trampa reggi autentico autentico toma yeah yeah eh eh trampa trampa so so encanta game changers ro ro ro royce ro ro ro royce ¡toma,"negativo, ira, disgusto"
yeah yeah yeah yeah yeah yeah yeah yeah yeah oh oh yeah wuh despues jugaste corazon echaste hacia lado relacion ahora pensando situacion oh oh ahora quieres venir explicacion ocasion mataste habia interior oh vengas decirme jugaste mala jugada creo amor creo amor vengas explicarme jugaste pobre alma creo amor creo amor you might also like hablen poemas rosas anestesiado corazon hablen amor vengas decirme jugaste mala jugada creo amor creo amor vengas explicarme jugaste pobre alma creo amor creo amor yeah tambien mambo five get up get up vengas decirme jugaste mala jugada creo amor creo amor vengas explicarme jugaste pobre alma creo amor creo amor hablen poemas rosas anestesiado corazon hablen amor vengas decirme jugaste mala jugada creo amor creo amor vengas explicarme jugaste pobre alma creo amor creo amor take it back royce yeah ta bueno ta bueno oi jejeje,"positivo, alegria, negativo"
anoche di trago pa pode olvidarte hoy rezo cielo pa volver verte buscando pieles pa pode encontrarte si pase igual anestesienme vez quitenme dolor si doctor medicina pa baje poquito dolor labios morfina anestesienme vez ere droga medicina misma cura causastе dolor labios morfina anestesiеnme vez ¿cuantas veces intente olvidarte cuantas veces busque labios pa sanarme unico sed puedo ser quiero darte par besitos sabe si pase poquito mas tambien quiero enseñarte par truquitos volvamo intentar delito you might also like anestesienme vez quitenme dolor si doctor medicina pa baje poquito dolor labios morfina anestesienme vez is there doctor to remove this feeling who got the drugs so i can hide this pain you got that good good that just leave feenin anestesienme vez royce supe descifrarte tampoco reemplazarte ¿como puedo culparte si tambien parte to besos envolvi proceso cora preso baby anestesienme vez quitenme dolor ere droga medicina misma cura causaste dolor labios morfina anestesienme vez is there doctor to remove this feeling who got the drugs so i can hide this pain because her midnight sexin had feenin anestesienme vez paloma mami,"miedo, negativo, positivo"
lyrics regalo favorito estrellita cielo abrigo invierno estrellita cielo abrigo invierno siempre quiero labios caramelo enero diciembre amo pido regalo favorito oro plata podran superar ojos besos forma amar reyes navidad lado arbol espero pido regalo favorito solo you might also liketu siempre quiero labios caramelo enero diciembre solo pido regalo favorito oro plata podran superar ojos besos forma amar reyes navidad lado arbol espero pido regalo favorito solo pido,"positivo, alegria, anticipacion"
termino ilusion cama queda olor fallecio corazon amor engaño puerta cerrada luz apagada silencio colapse llore llore llore llore queda voz mente trato borrar ayer canse dure lloro solo habitacion almohada testigo traicion royce llore llore llore llore queda voz mente trato borrar ayer canse dure lloro solo habitacion almohada testigo traicion you might also like sometimes you have to cry in order to smile at the end puerta cerrada luz apagada silencio colapse llore llore llore llore queda voz mente trato borrar ayer canse dure lloro solo habitacion almohada testigo traicion llore llore llore llore queda voz mente trato borrar ayer canse dure lloro solo habitacion almohada testigo traicion,"negativo, miedo, confianza"
w yandel w yandel principe royce yeah eh veces empeñas buscar defectos olvidas tambien fallas si dices doy oh oh gusta manera pensar ¡w yandel gusta manera pensar dices das alma das alma diciendome cambiar oh oh woh woh woh valoro ofrece siento feliz si hago llorar ar dia vuelve pelea vuelve pelea palabras pones demas ves solo aventura sencillez tratas ternura misma vez yeah yeah yeah fallas palabras dices mientras hablas uh uh uh uh uh ves you might also like ok baby claro aventura yeah veces cura ¡tra locura encanta piensas levantas niegues dime haces nadie aguanta ¡woh raro saber serio ¡tra tra tra misterio fria cementerio ¡tra tra dices yeah digo ey mala actitud bebe afectas salud gano caso veces feliz veces fracaso dia amas rechazos cura tiempo yeah llegara momento yeah quiero seguir siendo payaso ves solo aventura sencillez tratas ternura misma vez yeah yeah yeah fallas palabras dices mientras hablas uh uh uh uh uh ves vez aqui habitacion testigos quieres conmigo rico contigo vez aqui habitacion testigos quieres conmigo rico contigo yandel ves solo aventura sencillez tratas ternura misma vez yeah yeah yeah fallas palabras dices mientras hablas uh uh uh uh ves solo aventura sencillez tratas ternura misma vez yeah yeah eh eh eh eh fallas palabras dices mientras hablas uh uh uh uh uh ves yeih oh oh ¡w yandel ves yeah prince royce yeah wisin yandel dj luian mambo kingz yeah yeah eh eh eh eh royce wisin yandel,"positivo, negativo, anticipacion"
show yours i ll show you mine lie to woah tell anything you want to believe woah and i ll be anyone that you want to be oh show yours i ll show you mine ooh show yours i ll show you mine i m kissin on this girl with million dollar mouthpiece it s funny how she caught usually i m the one doin the talkin but she had so much to say started off nice and innocent but even fool could tell the difference between sweet girl and sweet nothings i know better i know better liar liar set my heart on fire i got skeletons in my closet too so go ahead i won t judge if you lie to lie to yeah woah tell anything you want to believe woah and i ll be anyone that you want to be want to be oh show yours i ll show you mine ooh show yours i ll show you mine you might also like as you went out you said you was with your girlfriends mhm mhm girlfriend girlfriend well i was out too too lookin for some revenge revenge guess we guess we even liar liar set my heart on fire i got skeletons in my closet too so go ahead i won t judge if you lie to lie to baby yeah woah tell anything you want to believe woah and i ll be anyone that you want to be want to be oh show yours i ll show you mine ooh show yours i ll show you mine dime mami chula show what you tryna do you ain t got ta talk just let your body tell on you dime mami chula show what you tryna do quiero hablar now let your body tell on you so go ahead so go ahead go ahead i won t judge if you lie to lie to baby tell anything you want to believe and i ll be anyone that you want to be want to be yeah show yours i ll show you mine ooh show yours i ll show you mine,"positivo, ira, anticipacion"
mirame aunque quieras mirar si todavia queda amor tenias niña linda dame chance escuchar entiendo quieres perdonar menos quiera bese hice ruego dame oportunidad dime si verdad quieres volver mas si tendre aprender vivir solo amor si piensas vivir vida junto ven matame ahora hagas sufrir sabes quiero muero puedo seguir si junto sabes quiero muero baby solo dame oportunidad oh oh you might also like bien sabes puedes olvidar puede pasar siglo mil amores pesar errores dia vas perdonar acepto culpa hombre entiende nadie niño jugaba hombre ama ignores vuelve junto dime si verdad quieres volver mas si tendre aprender vivir solo amor si piensas vivir vida junto ven matame ahora ay hagas sufrir sabes quiero muero puedo seguir si junto sabes quiero muero oh baby solo dame oportunidad sabes quiero muero puedo seguir puedo seguir si junto sabes quiero muero baby solo dame oportunidad sabes quiero oh muero oh cuerpo labios besos muero sabes quiero muero baby baby dame oportunidad sabes quiero oh muero oh ay ma ay ma sabes quiero muero baby,"positivo, anticipacion, confianza"
haces vivir haces soñar agita corazon haces reir haces llorar importa veo van horas siento beso tan natural llena alimenta amor llena alimenta amor you might also like complementas universo logras solo beso demores voy amar tonight tonight tonight veo van horas siento beso tan natural ojos hace quererte vivir complementa lindos ojos antojo ere llena alimenta amor,"alegria, positivo, anticipacion"
i ve been waiting all day checking the time for when she arrives yeah open bottle of white she likes chardonnay i m well on my way yeah she don t know my palms are sweaty i m nervous i ve been dressed and ready and when i open up the door she asks how do i look i say you are fire but your blue eyes are brighter i ve never felt this way before stay for while and close the door cause you are fire tomorrow is coming too soon let s do this again see you at ten yeah if you like to instead stay in my room it s already noon you might also like she don t know my palms are sweaty so nervous damn she s sweet and sexy she pulls on my favourite shirt and asks how do i look i say you are fire but your blue eyes are brighter i ve never felt this way before stay for while and close the door cause you are fire there s need to rush just relax cause tonight s gon na do what it does i can t get enough i just got ta say i just got ta say i just got ta say you are fire but your blue eyes are brighter i ve never felt this way before stay for while and close the door cause you are fire you are fire but your blue eyes are brighter i ve never felt this way before i ve never felt this way before you are fire,"positivo, confianza, ira"
pass shot poder olvidar amor ahogo bar puedo vivir si ser feliz si lamentando perdida vida misma puedo dormir si sonreir si lamento despedida vida ruina regalo mar final corazon llora mar extraño piel puedes ver puedo querer llamame mujer pass another one royce you might also like another round to get you out of my mind veneno sigo bar puedo vivir si ser feliz si lamentando perdida vida misma puedo dormir si sonreir si lamento despedida vida ruina puedo dormir si sonreir si lamento despedida vida ruina regalo mar final corazon llora mar extraño piel puedes ver puedo querer llamame mujer let s go i m tired of crying let the groove take over sick of trying let the groove take over if you ever been here before let the groove take over let s just leave it up on the floor let the groove take over i m tired of crying let the groove take over and i m so sick of trying let the groove take over now i know you ve been here before let the groove take over so let see you get on the floor let the groove take over so let the groove take over get to know you now bring it over put it on you let it take over baby let the groove take over,"negativo, positivo, tristeza"
you make it look like it s magic oh yeah cause i see nobody nobody but you you you i m never confused hey hey i m so used to bein used so i love when you call unexpected cause i hate when the moment s expected so i ma care for you you you girl i ma care for you you you you you know our love would be tragic so you don t pay it don t pay it mind mind mind we live with lies hey hey you re my favorite kind of night so i love when you call unexpected cause i hate when the moment s expected so i ma care for you you you girl i ma care for you you you you you you you you you you you you you i ma care for you you you you i ma care for you you you girl i ma care for you you you you you might also like cause girl you re perfect you re always worth it and you deserve it cause girl you re perfect and you deserve it cause i ma care for you,"positivo, confianza, ira"
mandado mil notas voz respondes escondes siempre quieres evitar razones pa ’ acciones siento extraño ¿donde anillo puse mano siento robado regalo mas preciado siento mia robado sonrisa siento mia dejado robaste vida dan nueve vuelvo llamar sigo esperando respuesta vuelves ignorar afectando ausencia you might also like siento extraño ¿donde anillo puse mano siento robado regalo mas preciado oh oh siento mia siento robado sonrisa oh siento mia dejado robaste vida haz dejado royce da ’ duro siempre personas cambian sol esconde siento siento siento mia robado sonrisa robado sonrisa siento mia mia dejado robaste vida vida oh dejado robaste vida vida ah devuelveme devuelveme vida,"negativo, sorpresa, anticipacion"
